timestamp_us,sensor_1,sensor_2
1212568874,0,0
1212569074,0,0
1212569274,0,0
1212569474,0,0
1212569675,0,0
1212569874,0,0
1212570074,0,0
1212570274,0,0
1212570474,0,0
1212570674,1,0
1212570874,1,0
1212571077,1,0
1212571276,1,0
1212571478,1,0
1212571674,1,0
1212571875,1,0
1212572077,1,0
1212572274,0,0
1212572474,0,0
1212572677,0,0
1212572874,0,0
1212573074,0,0
1212573274,0,0
1212573474,0,0
1212573677,0,0
1212573874,0,0
1212574074,0,0
1212574277,0,0
1212574474,0,0
1212574681,0,0
1212574874,0,0
1212575074,0,0
1212575274,0,0
1212575474,0,0
1212575674,0,0
1212575874,0,0
1212576074,0,0
1212576279,0,0
1212576474,0,0
1212576674,0,0
1212576877,0,0
1212577074,0,0
1212577274,0,0
1212577474,0,0
1212577674,0,0
1212577874,0,0
1212578074,0,0
1212578274,0,0
1212578479,0,1
1212578674,0,1
1212578874,0,1
1212579074,0,1
1212579274,0,1
1212579474,0,1
1212579674,0,1
1212579874,0,1
1212580074,0,1
1212580277,0,1
1212580474,0,1
1212580674,0,1
1212580874,0,1
1212581076,0,1
1212581274,0,1
1212581474,0,1
1212581674,0,1
1212581874,0,1
1212582074,0,1
1212582274,0,1
1212582474,0,1
1212582674,0,1
1212582874,0,1
1212583074,0,1
1212583274,0,1
1212583474,0,1
1212583674,0,1
1212583874,0,1
1212584074,0,1
1212584274,0,1
1212584474,0,1
1212584674,0,1
1212584874,0,1
1212585074,1,1
1212585274,1,1
1212585474,1,1
1212585674,1,1
1212585874,1,1
1212586074,1,1
1212586274,0,1
1212586474,0,1
1212586674,0,1
1212586874,0,1
1212587074,0,1
1212587274,0,1
1212587474,0,1
1212587674,0,1
1212587874,0,1
1212588074,0,1
1212588274,1,1
1212588474,1,1
1212588674,1,1
1212588874,1,1
1212589074,1,1
1212589274,0,1
1212589474,0,1
1212589674,0,1
1212589874,0,1
1212590074,0,1
1212590274,0,1
1212590474,0,1
1212590674,0,1
1212590874,0,1
1212591074,0,1
1212591274,0,1
1212591474,0,1
1212591674,0,1
1212591874,0,1
1212592074,0,1
1212592274,0,1
1212592474,0,1
1212592674,0,1
1212592874,0,1
1212593074,0,1
1212593274,0,1
1212593474,0,1
1212593674,0,1
1212593874,0,1
1212594074,0,1
1212594274,0,1
